Zip,NumTotal,NumRetired,NumDisabled,NumWidowerorParent,NumSpouses,NumChildren,BenTotal,BenRetired,BenWidowerorParent,NumSeniors
"75566",275,160,55,25,10,25,262,165,17,170
"75567",700,395,145,50,30,80,680,411,45,410
"75569",620,325,135,65,20,75,635,367,70,375
"75570",1975,1150,360,185,80,200,1777,1107,168,1270
"75572",1000,555,195,90,45,115,995,602,93,610
"75573",185,110,40,15,10,10,175,103,17,125
"75574",365,210,70,30,20,35,331,203,30,230
"75630",895,570,130,95,60,40,976,666,108,640
"75656",1165,665,190,150,65,95,1270,784,173,815
"75103",3225,2200,410,260,155,200,3622,2607,300,2335
"75117",960,630,150,75,45,60,1057,730,85,665
"75124",1090,695,190,95,45,65,1217,830,107,730
"75127",405,240,70,35,20,40,420,275,33,265
"75140",1635,1045,260,140,75,115,1752,1176,162,1120
"75148",1620,1045,265,125,65,120,1782,1249,132,1120
"75163",800,550,110,65,35,40,909,666,83,590
"75169",3390,2185,565,275,120,245,3707,2564,308,2315
"75410",1235,865,170,85,60,55,1444,1073,94,900
"75444",130,85,20,10,5,10,152,111,13,95
"75494",2835,1910,375,260,125,165,3164,2265,291,2080
"75497",1155,850,150,60,60,35,1409,1089,77,850
"75701",6045,3860,800,680,315,390,6901,4802,845,4515
"75702",3475,1790,910,315,130,330,3240,1833,300,1990
"75703",6775,4645,695,620,390,425,8356,6209,800,5270
"75704",1600,1000,275,140,70,115,1773,1195,158,1095
"75705",475,260,120,40,20,35,504,287,41,290
"75706",1275,735,290,90,55,105,1332,817,94,775
"75707",2870,1945,315,240,185,185,3406,2509,292,2190
"75708",1055,580,235,85,45,110,1076,656,89,605
"75709",950,555,170,75,55,95,1085,697,98,595
"75710",200,105,55,15,5,20,221,134,23,115
"75711",525,310,85,55,30,45,612,410,65,360
"75712",510,230,155,35,5,85,488,254,29,240
"75713",395,245,70,30,15,35,488,332,42,265
"75750",805,510,130,85,25,55,912,618,92,560
"75751",3665,2280,575,360,160,290,3930,2668,386,2535
"75752",1585,1075,240,115,65,90,1816,1319,130,1100
"75754",1385,885,220,115,45,120,1519,1053,120,915
